Name,Date,FB
Professional Coffee Chats,2/22/2018,https://www.facebook.com/events/1774382002615211/
Chinese New Year Dinner,2/10/2018,https://www.facebook.com/events/574070649607514/
Winter Break Lunch,1/9/2018,https://www.facebook.com/events/1597503356984521/
Turning Tides - Symposium,11/18/2017,https://www.facebook.com/events/151374958803955/
G-Body Meeting,11/12/2017,https://www.facebook.com/events/312020062613817/
CTAS x CCT Night Market,11/4/2017,https://www.facebook.com/events/847550518751536/
Rice Rolls Fundraiser,10/17/2017,https://www.facebook.com/events/851210788391279/
Double Ten Hotpot Night,10/13/2017,https://www.facebook.com/events/535460516808630/
Taiwanese Brunch,10/1/2017,https://www.facebook.com/events/739704232879635/
Coffee Chats,9/27/2017,https://www.facebook.com/events/101424800610565/
Information Session,9/13/2017,https://www.facebook.com/events/634898303564576/
New Student Welcoming Dinner,8/11/2017,https://www.facebook.com/events/2051017975126277/
